Location,Value,Technical Description,X-Column,Y-Column,Rotation
R5,56K-1206,"56 kOhm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",54.857,16.716,180
R50,22K-0603,"22 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",78.061,37.993,270
R51,33R-0603,"33 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",9.65,63.95,180
R52,3.3K-0603,"3.3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",44.35,67.767,180
R54,150R-0603,"150 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",88.77,41.74,90
R55,0.51R-2512,"0.51 Ohm, 1 %, Thick Film, 100 ppm/K, SMD, 2512",43.33,46.33,270
R56,2.4K-0603,"2.4 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",28.656,66.5,0
R57,3.3K-0603,"3.3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",19.968,88.043,90
R58,33R-0603,"33 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",12.623,82.166,180
R59,10K-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",97.5,8.75,180
R6,10K-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",55.401,36.261,90
R60,5.6K-0603,"5.6 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",32.406,66.55,0
R61,300R-0603,"300 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2.25,78.45,0
R62,300R-0603,"300 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2.25,80.65,180
R63,7.5K-0603,"7.5 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",32.406,64.592,0
R64,3K-0603,"3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",29.927,57.95,180
R65,3.3K-0603,"3.3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",15.074,78.497,180
R66,33R-0603,"33 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",9.65,74,180
R67,5.1K-0603,"5.1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",31.9,55.8,0
R68,8.2K-0603,"8.2 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",31.9,53.6,0
R69,6.8K-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",34.087,62.662,0
R7,5.1K-0603,"5.1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",44.272,64.15,270
R70,6.8K-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",48.2,64.2,90
R71,100K-0603,"100 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",47.34,61.392,180
R72,82K-0603,"82 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",30.031,62.015,180
R73,6.8K-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",46.431,74.502,90
R74,8.2K-0603,"8.2 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",91.95,81.6,0
R75,4.7K-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",60.9,45.6,90
R76,91K-0603,"91 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",88.34,56.31,180
R77,6.8K-0603,"6.8 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",47.739,86.323,180
R78,10K-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",47.165,89.213,90
R79,10K-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",51.74,44.658,270
R8,30K-0603,"30 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",62.85,87.2,180
R80,680K-1206,"680 kOhm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",18.232,28.625,90
R81,680K-1206,"680 kOhm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",18.232,34.747,90
R82,680K-1206,"680 kOhm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",13.343,34.8,180
R83,820R-0603,"820 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",32.589,90.515,180
R84,100K-1206,"100 kOhm, 1 %, Thick Film, 100 ppm/K, SMD, 1206/3216M",29.05,25.826,0
R85,100K-1206,"100 kOhm, 1 %, Thick Film, 100 ppm/K, SMD, 1206/3216M",35.25,25.826,0
R86,100K-1206,"100 kOhm, 1 %, Thick Film, 100 ppm/K, SMD, 1206/3216M",41.45,25.826,0
R87,820R-0603,"820 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",24.274,89.655,90
R88,330R-0603,"330 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",30.5,50.84,270
R89,1K-0603,"1 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",23.25,64.45,180
R9,0.056K-1206,"0.056 kOhm, 1 %, 0.25 W, Thick Film, 100 ppm/K, SMD, 1206/3216M",91.5,10.85,180
R90,3K-0603,"3 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",19.7,78.1,0
R91,3.9K-0603,"3.9 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",24.75,73.836,0
R92,15K-0603,"15 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",22.55,77.25,90
R93,68R-0603,"68 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",19.35,70.581,90
R94,68R-0603,"68 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",24.75,77.25,90
R95,10K-0603,"10 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",83.85,76.8,270
R96,30K-0603,"30 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",66.7,87.2,0
R97,300R-0603,"300 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",2.25,70.65,180
R98,4.7K-0603,"4.7 kOhm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",91.95,83.6,0
R99,240R-0603,"240 Ohm, 1 %, 0.1 W, Thick Film, 100 ppm/K, SMD, 0603/1608M",89.15,82.5,270
RP2,47K-RESNET,"47 kOhm, 5 %, Thick Film, 200 ppm/K, SMD, 1206(4 X 0603)",71.374,86.75,0
RP3,2.2K-RESNET,"2.2 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206 (4 X 0603)",50.081,75.988,90
RP4,2.2K-RESNET,"2.2 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206 (4 X 0603)",41.696,88.229,180
RP5,4.7K-1206,"4.7 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206/3216M",76.2,84.45,90
RP6,4.7K-1206,"4.7 kOhm, 5 %, 0.0625 W, Thick Film, 200 ppm/K, SMD, 1206/3216M",76.2,79.15,90
RP7,47K-RESNET,"47 kOhm, 5 %, Thick Film, 200 ppm/K, SMD, 1206(4 X 0603)",56.551,51.467,0
T1,P000297250-5024-X092,"Coupler, 4 kV, L = 13.9; W = 11; H = 7.6, SMD",33.147,32.75,90
TZ1,SMCJ6.5CA,"TRANSZORB, TH, 1500W, SMCJ6.5CA",44.25,33.274,90
TZ3,P4SMA300,"P4SMA300, Unidirectional, 300 V, 400 W, DO-214AC(SMA), SMD",86.335,17.78,90
U1,M45PE16-P000041610,"Flash, SPI, 16 MBit, SO8W, SMD",64.6,82.95,180
U10,NCS565XMNTXG,"Amplifier, NCS565xMNTXG, QFN20, SMD",40.5,62.2,270
U13,P000239680--UPD809508K8,"PLC, QFN48, SMD",38.15,80.7,0
U2,MMI3C3-P000052620,"ASIC, Mixed Signal, Measurement, TSSOP14, SMD",57.35,41.75,0
U3,VIPER26HDTR,"VIPER26, SMPS Controller, 1.5 W, SO16 narrow, SMD",85.7,31.9,180
U4,P000278000,"32Bit, FLASH, LQFP100, SMD",64.25,68.4,90
U5,TPS5401,"TPS5401, Regulator adjustable, 500 mA, 5 %, MSOP10, SMD",90.947,64.906,90
U6,LDK120M12R-P000297770,"200mA, Low Iq, low noise LDO, Voltage Reference, SOT23-5L, SMD",51.521,88.417,270
U7,TLV431A5N1-P000059400,"431, Voltage Reference, 1.24..1.25..16 V, 0.2 W, SOT-23-3, SMD",79.27,53.047,180
W10,,"E460, 1ph, DIN Rail, terminal, neutral",,,
X2,12MHZ-10PF,"Quartz Crystal, 12 MHz, 30 ppm, 10 pF, L3.2 W2.5 H0.7 mm, SMD",65.9,54.15,0
X3,32.768KHZ-7PF,"Quartz Crystal, 32.768 kHz, 50 ppm, 7 pF, L 7.0 W 1.5 H 1.4, SMD",59.677,52.687,270
X4,16MHZ-8PF,"Quartz Crystal, 16 MHz, 30 ppm, 8 pF, 3225, SMD",35.121,73.386,90
